-0.017453 -0.017453 -0.017453 -0.017453 -0.017453 -0.017453 -0.017453 -0.017453 -0.000000 -0.000000 
-0.174533 -0.174533 -0.191986 -0.191986 -0.191986 -0.174533 -0.161443 -0.161443 -0.139626 -0.104720 
-0.907571 -0.911935 -0.925025 -0.933751 -0.925025 -0.907571 -0.877028 -0.868301 -0.785398 -0.667588 
-1.884956 -1.889319 -1.902409 -1.893682 -1.902409 -1.884956 -1.863139 -1.863139 -1.815142 -1.749693 
-2.203478 -2.203478 -2.216568 -2.207842 -2.216568 -2.199115 -2.212205 -2.194752 -2.199115 -2.168572 
-2.316925 -2.325651 -2.321288 -2.321288 -2.321288 -2.321288 -2.316925 -2.316925 -2.308198 -2.308198 
-2.369284 -2.369284 -2.373648 -2.391101 -2.391101 -2.373648 -2.369284 -2.369284 -2.378011 -2.347468 
-2.456551 -2.456551 -2.452188 -2.460914 -2.460914 -2.460914 -2.456551 -2.456551 -2.447824 -2.426008 
-2.561271 -2.561271 -2.556907 -2.565634 -2.565634 -2.565634 -2.561271 -2.561271 -2.552544 -2.548181 
-2.648537 -2.648537 -2.644174 -2.639810 -2.639810 -2.644174 -2.648537 -2.648537 -2.657264 -2.652900 
-2.722714 -2.722714 -2.722714 -2.727077 -2.727077 -2.722714 -2.722714 -2.722714 -2.727077 -2.722714 
-2.809980 -2.809980 -2.809980 -2.805617 -2.805617 -2.809980 -2.809980 -2.809980 -2.805617 -2.809980 
-2.897247 -2.897247 -2.897247 -2.892883 -2.892883 -2.897247 -2.897247 -2.897247 -2.892883 -2.897247 
-2.975786 -2.975786 -2.975786 -2.980150 -2.980150 -2.975786 -2.975786 -2.975786 -2.980150 -2.975786 
-3.063053 -3.063053 -3.063053 -3.054326 -3.054326 -3.063053 -3.063053 -3.063053 -3.054326 -3.063053 
-3.132866 -3.132866 -3.132866 -3.141593 -3.141593 -3.132866 -3.132866 -3.132866 -3.141593 -3.132866 
-3.207043 -3.207043 -3.207043 -3.211406 -3.211406 -3.207043 -3.207043 -3.207043 -3.211406 -3.207043 
-3.276856 -3.276856 -3.276856 -3.281219 -3.281219 -3.276856 -3.276856 -3.276856 -3.281219 -3.276856 
-3.346669 -3.346669 -3.346669 -3.351032 -3.351032 -3.346669 -3.346669 -3.346669 -3.351032 -3.346669 
-3.390302 -3.390302 -3.390302 -3.390302 -3.390302 -3.390302 -3.390302 -3.390302 -3.390302 -3.390302 
-3.442662 -3.442662 -3.442662 -3.442662 -3.442662 -3.442662 -3.442662 -3.442662 -3.442662 -3.442662 
-3.481932 -3.481932 -3.481932 -3.481932 -3.481932 -3.481932 -3.481932 -3.481932 -3.481932 -3.481932 
-3.525565 -3.525565 -3.525565 -3.525565 -3.525565 -3.525565 -3.525565 -3.525565 -3.525565 -3.525565 
-3.560472 -3.560472 -3.560472 -3.560472 -3.560472 -3.560472 -3.560472 -3.560472 -3.560472 -3.560472 
-3.595378 -3.595378 -3.595378 -3.595378 -3.595378 -3.595378 -3.595378 -3.595378 -3.595378 -3.595378 
-3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 
-3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 
-3.682645 -3.682645 -3.682645 -3.682645 -3.682645 -3.682645 -3.682645 -3.682645 -3.682645 -3.682645 
-3.700098 -3.700098 -3.700098 -3.700098 -3.700098 -3.700098 -3.700098 -3.700098 -3.700098 -3.700098 
-3.735005 -3.735005 -3.735005 -3.735005 -3.735005 -3.735005 -3.735005 -3.735005 -3.735005 -3.735005 
-3.739368 -3.739368 -3.739368 -3.739368 -3.739368 -3.739368 -3.739368 -3.739368 -3.739368 -3.739368 
-3.756821 -3.756821 -3.756821 -3.756821 -3.756821 -3.756821 -3.756821 -3.756821 -3.756821 -3.756821 
-3.774275 -3.774275 -3.774275 -3.774275 -3.774275 -3.774275 -3.774275 -3.774275 -3.774275 -3.774275 
-3.791728 -3.791728 -3.791728 -3.791728 -3.791728 -3.791728 -3.791728 -3.791728 -3.791728 -3.791728 
-3.796091 -3.796091 -3.796091 -3.796091 -3.796091 -3.796091 -3.796091 -3.796091 -3.796091 -3.796091 
-3.813544 -3.813544 -3.813544 -3.813544 -3.813544 -3.813544 -3.813544 -3.813544 -3.813544 -3.813544 
-3.817908 -3.822271 -3.822271 -3.822271 -3.822271 -3.817908 -3.817908 -3.817908 -3.817908 -3.817908 
-3.835361 -3.826634 -3.826634 -3.830998 -3.830998 -3.835361 -3.835361 -3.835361 -3.835361 -3.835361 
-3.839724 -3.844088 -3.844088 -3.839724 -3.839724 -3.839724 -3.839724 -3.839724 -3.839724 -3.839724 
-3.844088 -3.844088 -3.844088 -3.844088 -3.844088 -3.844088 -3.844088 -3.844088 -3.844088 -3.844088 
