0.300,21.82,262.57,6422.71,-0.10,0.14,15.92,15.97,19.63,17.83,0.03,100.00,299.32,317.95,462.21,441.51,29.18,45.41,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.15,0.06,0.14,0.06,0.50,-0.50,-0.18,-0.13,-0.41,0.04,-0.32,20.11,20.12,27.27,27.29,262.60,262.54,267.08,267.02
0.320,23.27,262.67,6425.13,-0.09,0.14,15.98,16.32,20.16,18.76,0.03,100.00,272.41,293.62,445.68,427.02,30.86,46.03,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.14,0.05,0.14,0.05,0.45,-0.36,-0.21,0.58,0.34,0.25,-0.11,20.11,20.12,27.26,27.28,262.70,262.65,267.17,267.13
0.340,24.73,262.77,6427.55,-0.09,0.14,14.38,14.44,19.99,18.62,0.02,100.00,241.09,239.35,401.89,346.66,33.80,47.42,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.14,0.05,0.13,0.04,0.38,-0.12,-0.02,-0.08,0.15,0.07,0.45,20.11,20.12,27.25,27.27,262.79,262.75,267.31,267.42
0.360,26.19,262.87,6429.95,-0.08,0.14,11.93,11.89,18.85,17.27,0.02,100.00,193.40,194.19,352.61,309.51,37.09,48.92,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.14,0.05,0.12,0.04,0.34,0.20,0.07,-0.24,-0.03,0.01,-0.07,20.11,20.12,27.24,27.27,262.89,262.85,267.53,267.67
0.380,27.65,262.97,6432.36,-0.07,0.14,10.34,10.49,17.62,16.42,0.02,100.00,172.82,189.08,336.92,327.82,39.62,50.26,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.13,0.05,0.12,0.03,0.31,0.37,-0.05,0.27,-0.04,0.09,-0.31,20.11,20.12,27.24,27.27,262.98,262.95,267.69,267.69
0.400,29.11,263.06,6434.77,-0.07,0.14,10.08,10.13,16.87,16.03,0.02,100.00,187.20,188.99,333.45,322.64,40.77,51.70,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.12,0.04,0.11,0.02,0.28,0.25,0.04,0.05,-0.10,0.04,-0.10,20.11,20.12,27.23,27.26,263.08,263.05,267.80,267.81
0.420,30.58,263.16,6437.17,-0.06,0.14,10.41,10.26,16.44,15.71,0.02,100.00,196.55,189.48,338.33,313.05,40.98,52.94,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.11,0.03,0.11,0.02,0.21,0.13,0.13,0.07,0.11,-0.00,0.13,20.11,20.12,27.23,27.26,263.17,263.15,267.88,267.96
0.440,32.04,263.26,6439.58,-0.05,0.14,10.71,10.64,16.28,15.57,0.02,100.00,202.60,205.14,347.58,329.37,40.72,53.70,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.11,0.02,0.10,0.01,0.13,0.08,0.10,0.08,-0.03,0.04,-0.02,20.11,20.12,27.23,27.26,263.27,263.26,267.94,267.99
0.460,33.50,263.36,6441.99,-0.05,0.14,11.23,11.16,16.42,15.71,0.02,100.00,223.11,208.15,373.25,339.43,40.13,54.12,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.10,0.01,0.09,0.00,0.04,0.06,0.01,-0.21,0.28,-0.22,0.14,20.11,20.11,27.22,27.26,263.36,263.36,267.95,268.06
0.480,34.96,263.46,6444.40,-0.04,0.14,12.04,11.59,16.78,15.99,0.01,100.00,240.55,216.66,386.16,356.54,39.32,54.49,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.09,-0.00,0.09,-0.00,-0.01,0.01,-0.04,-0.22,0.23,-0.30,0.17,20.11,20.11,27.21,27.25,263.46,263.46,268.01,268.10
0.500,36.43,263.56,6446.79,-0.03,0.14,12.56,12.19,17.01,16.46,0.01,100.00,230.87,233.70,352.52,375.97,38.51,55.00,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.08,-0.00,0.08,-0.01,-0.05,-0.12,0.06,0.43,-0.12,0.42,0.00,20.11,20.11,27.21,27.24,263.55,263.56,268.21,268.14
0.520,37.89,263.65,6449.19,-0.03,0.14,12.21,12.23,16.65,16.68,0.01,100.00,217.53,225.51,322.04,355.38,38.16,55.21,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.08,-0.01,0.07,-0.02,-0.05,-0.18,0.24,0.20,-0.18,0.59,0.04,20.11,20.11,27.20,27.24,263.65,263.66,268.42,268.30
0.540,39.36,263.75,6451.57,-0.02,0.14,11.56,11.25,16.26,16.38,0.00,100.00,213.71,193.49,339.55,323.92,38.39,54.56,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.07,-0.02,0.07,-0.02,-0.04,0.05,0.17,-0.21,-0.03,-0.11,0.30,20.11,20.11,27.20,27.23,263.75,263.75,268.45,268.52
0.560,40.82,263.85,6453.95,-0.01,0.14,11.13,10.77,16.20,16.05,-0.00,100.00,207.84,193.49,350.09,334.28,38.46,53.27,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.05,-0.03,0.06,-0.03,-0.13,0.15,0.06,-0.03,0.15,-0.12,0.14,20.11,20.11,27.20,27.23,263.84,263.86,268.50,268.58
0.580,42.29,263.95,6456.34,-0.01,0.14,10.89,11.04,16.15,16.03,-0.00,100.00,197.36,216.82,337.71,350.39,37.99,51.73,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.05,-0.04,0.05,-0.03,-0.25,0.09,0.08,0.15,-0.22,0.27,-0.13,20.11,20.11,27.19,27.23,263.93,263.96,268.64,268.62
0.600,43.75,264.04,6458.72,0.00,0.14,11.33,11.75,16.41,16.34,-0.01,100.00,219.72,236.68,394.66,388.20,37.03,50.09,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.04,-0.05,0.05,-0.04,-0.37,0.18,-0.21,0.04,-0.05,-0.30,-0.40,20.11,20.10,27.19,27.22,264.02,264.06,268.56,268.62
0.620,45.22,264.14,6461.10,0.01,0.14,12.66,12.99,17.30,16.99,-0.01,100.00,256.04,264.32,441.85,406.59,35.47,49.25,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.03,-0.06,0.04,-0.05,-0.48,0.02,-0.31,-0.23,0.02,-0.58,-0.17,20.11,20.10,27.18,27.21,264.12,264.17,268.60,268.68
0.640,46.69,264.24,6463.48,0.02,0.14,14.16,14.63,18.27,17.71,-0.02,100.00,278.39,298.78,435.32,412.99,34.00,49.49,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.03,-0.06,0.03,-0.06,-0.55,-0.41,-0.08,-0.27,-0.17,-0.03,0.02,20.10,20.10,27.17,27.20,264.21,264.27,268.69,268.78
0.660,48.16,264.34,6465.84,0.02,0.14,15.03,15.74,18.86,18.33,-0.02,100.00,279.43,313.00,430.82,424.14,34.09,50.08,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.02,-0.07,0.02,-0.07,-0.54,-0.53,-0.02,-0.20,-0.38,0.12,-0.12,20.10,20.10,27.16,27.19,264.31,264.37,268.79,268.86
0.680,49.62,264.43,6468.20,0.03,0.14,15.03,15.75,19.33,18.84,-0.02,100.00,251.16,278.81,433.12,418.51,36.09,50.86,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.01,-0.08,0.01,-0.07,-0.53,-0.20,-0.21,0.56,0.54,-0.03,-0.09,20.10,20.10,27.15,27.18,264.40,264.46,268.89,268.96
0.700,51.09,264.53,6470.54,0.04,0.14,13.41,13.98,19.33,18.83,-0.02,100.00,219.72,238.82,397.87,379.71,38.69,52.48,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,0.00,-0.08,0.01,-0.08,-0.50,0.19,-0.25,0.13,0.22,-0.07,0.02,20.10,20.10,27.14,27.17,264.50,264.55,269.03,269.13
0.720,52.56,264.62,6472.86,0.04,0.13,11.57,12.05,18.53,18.12,-0.02,100.00,189.67,207.52,338.37,330.49,40.61,54.96,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,-0.01,-0.10,0.00,-0.08,-0.54,0.24,-0.01,0.05,0.06,0.37,0.27,20.10,20.10,27.14,27.17,264.59,264.65,269.30,269.39
0.740,54.03,264.72,6475.19,0.04,0.13,10.10,10.61,16.76,16.55,-0.02,100.00,167.24,187.07,295.47,289.28,41.72,57.30,5.00,-75.00,-20.50,3.40,3.40,3.00,3.00,-0.01,-0.10,-0.00,-0.09,-0.58,0.08,0.36,0.07,0.06,0.25,0.28,20.10,20.10,27.14,27.17,264.69,264.75,269.59,269.68
