-0.000000 -0.000000 -0.000000 -0.004363 -0.008727 -0.008727 -0.017453 -0.017453 -0.017453 -0.000000 
-0.034907 -0.034907 -0.034907 -0.039270 -0.043633 -0.043633 -0.052360 -0.056723 -0.052360 -0.000000 
-0.104720 -0.104720 -0.109083 -0.113446 -0.113446 -0.130900 -0.139626 -0.161443 -0.139626 -0.069813 
-0.226893 -0.244346 -0.248709 -0.253073 -0.253073 -0.270526 -0.283616 -0.301069 -0.279253 -0.174533 
-0.401426 -0.418879 -0.423242 -0.431969 -0.445059 -0.462512 -0.475602 -0.493056 -0.453786 -0.314159 
-0.698132 -0.706858 -0.719948 -0.746128 -0.759218 -0.776672 -0.789761 -0.811578 -0.733038 -0.558505 
-1.151917 -1.160644 -1.173734 -1.199914 -1.213004 -1.230457 -1.243547 -1.265364 -1.169371 -0.977384 
-1.684243 -1.692969 -1.701696 -1.723513 -1.736603 -1.754056 -1.767146 -1.771509 -1.692969 -1.553343 
-2.138028 -2.129302 -2.138028 -2.142392 -2.155482 -2.146755 -2.151118 -2.159845 -2.129302 -2.076942 
-2.417281 -2.412918 -2.417281 -2.421644 -2.434734 -2.426008 -2.430371 -2.439098 -2.412918 -2.391101 
-2.609267 -2.622357 -2.609267 -2.613631 -2.609267 -2.617994 -2.609267 -2.613631 -2.622357 -2.600541 
-2.753257 -2.761984 -2.753257 -2.753257 -2.753257 -2.757620 -2.753257 -2.753257 -2.761984 -2.757620 
-2.875430 -2.871067 -2.875430 -2.875430 -2.875430 -2.879793 -2.875430 -2.875430 -2.871067 -2.879793 
-2.980150 -2.975786 -2.980150 -2.980150 -2.980150 -2.984513 -2.980150 -2.980150 -2.975786 -2.984513 
-3.054326 -3.063053 -3.054326 -3.054326 -3.054326 -3.054326 -3.054326 -3.054326 -3.063053 -3.054326 
-3.128503 -3.132866 -3.128503 -3.128503 -3.128503 -3.128503 -3.128503 -3.128503 -3.132866 -3.128503 
-3.198316 -3.202679 -3.198316 -3.198316 -3.198316 -3.198316 -3.198316 -3.198316 -3.202679 -3.198316 
-3.268129 -3.255039 -3.268129 -3.268129 -3.268129 -3.268129 -3.268129 -3.268129 -3.255039 -3.268129 
-3.303036 -3.307399 -3.303036 -3.303036 -3.303036 -3.303036 -3.303036 -3.303036 -3.307399 -3.303036 
-3.346669 -3.346669 -3.346669 -3.346669 -3.346669 -3.346669 -3.346669 -3.346669 -3.346669 -3.346669 
-3.385939 -3.385939 -3.385939 -3.385939 -3.385939 -3.385939 -3.385939 -3.385939 -3.385939 -3.381575 
-3.420845 -3.420845 -3.420845 -3.420845 -3.420845 -3.420845 -3.420845 -3.420845 -3.420845 -3.416482 
-3.455752 -3.455752 -3.455752 -3.455752 -3.455752 -3.455752 -3.455752 -3.455752 -3.455752 -3.451389 
-3.490659 -3.490659 -3.490659 -3.490659 -3.490659 -3.490659 -3.490659 -3.490659 -3.490659 -3.486295 
-3.499385 -3.499385 -3.499385 -3.499385 -3.499385 -3.499385 -3.499385 -3.499385 -3.499385 -3.503748 
-3.534292 -3.534292 -3.534292 -3.534292 -3.534292 -3.534292 -3.534292 -3.534292 -3.534292 -3.521202 
-3.538655 -3.538655 -3.538655 -3.538655 -3.538655 -3.538655 -3.538655 -3.538655 -3.538655 -3.538655 
-3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.556108 
-3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 -3.573562 
-3.591015 -3.591015 -3.591015 -3.591015 -3.591015 -3.591015 -3.591015 -3.591015 -3.591015 -3.591015 
-3.608468 -3.608468 -3.608468 -3.608468 -3.608468 -3.608468 -3.608468 -3.608468 -3.608468 -3.608468 
-3.612832 -3.612832 -3.612832 -3.612832 -3.612832 -3.612832 -3.612832 -3.612832 -3.612832 -3.612832 
-3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 -3.630285 
-3.634648 -3.634648 -3.634648 -3.634648 -3.634648 -3.634648 -3.634648 -3.634648 -3.634648 -3.634648 
-3.652101 -3.652101 -3.652101 -3.652101 -3.652101 -3.652101 -3.652101 -3.652101 -3.652101 -3.652101 
-3.656465 -3.656465 -3.656465 -3.656465 -3.656465 -3.656465 -3.656465 -3.656465 -3.656465 -3.656465 
-3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.665191 -3.660828 
-3.669555 -3.669555 -3.669555 -3.669555 -3.669555 -3.669555 -3.669555 -3.669555 -3.669555 -3.678281 
-3.678281 -3.678281 -3.678281 -3.687008 -3.687008 -3.687008 -3.687008 -3.687008 -3.687008 -3.678281 
-3.682645 -3.682645 -3.687008 -3.687008 -3.687008 -3.687008 -3.687008 -3.687008 -3.687008 -3.682645 
