ChassisSim Rig Replay Log
Baseline run
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.660000	1.220945	3.763061	-0.027274	-0.000000	2.285765	2.285765	1.175754	1.175754	1.944784	1.944784	1.887974	1.887974	24.071114	24.071114	27.193177	27.193177
0.680000	-1.438009	-0.334712	-0.018450	-0.000000	1.345876	1.345876	0.584720	0.584720	-1.332662	-1.332662	-1.363673	-1.363673	4.859876	4.859876	4.736498	4.736498
0.700000	-3.991449	-4.563155	-0.006967	-0.000000	0.185278	0.185278	-0.112945	-0.112945	-4.566383	-4.566383	-4.572126	-4.572126	-16.389582	-16.389582	-20.218134	-20.218134
0.720000	-6.270031	-8.589140	0.005720	0.000000	-1.077945	-1.077945	-0.854561	-0.854561	-7.517048	-7.517048	-7.505003	-7.505003	-37.496924	-37.496924	-45.283610	-45.283610
0.740000	-8.113961	-12.075902	0.018526	0.000000	-2.318007	-2.318007	-1.565160	-1.565160	-9.959475	-9.959475	-9.932011	-9.932011	-56.416641	-56.416641	-67.775441	-67.775441
0.760000	-9.385435	-14.717159	0.030488	0.000000	-3.413976	-3.413976	-2.169201	-2.169201	-11.696697	-11.696697	-11.651053	-11.651053	-71.290643	-71.290643	-85.228959	-85.228959
0.780000	-9.980753	-16.268487	0.040459	0.000000	-4.256889	-4.256889	-2.603733	-2.603733	-12.575323	-12.575323	-12.511672	-12.511672	-80.547240	-80.547240	-95.834035	-95.834035
0.800000	-9.841046	-16.572281	0.047244	0.000000	-4.759294	-4.759294	-2.825950	-2.825950	-12.503455	-12.503455	-12.428779	-12.428779	-83.125071	-83.125071	-98.554789	-98.554789
0.820000	-8.960496	-15.574009	0.049981	0.000000	-4.867060	-4.867060	-2.817730	-2.817730	-11.463545	-11.463545	-11.385683	-11.385683	-78.625337	-78.625337	-92.942377	-92.942377
0.840000	-7.391004	-13.331702	0.048564	-0.000000	-4.596205	-4.596205	-2.587390	-2.587390	-9.492091	-9.492091	-9.433484	-9.433484	-66.530932	-66.530932	-78.908991	-78.908991
0.860000	-5.242403	-10.013715	0.043756	0.000000	-3.953341	-3.953341	-2.134595	-2.134595	-6.770051	-6.770051	-6.724292	-6.724292	-48.993070	-48.993070	-58.020375	-58.020375
0.880000	-2.677624	-5.881488	0.036112	0.000000	-2.990790	-2.990790	-1.496838	-1.496838	-3.514332	-3.514332	-3.465640	-3.465640	-27.688164	-27.688164	-31.928953	-31.928953
0.900000	0.097399	-1.263079	0.025127	0.000000	-1.758775	-1.758775	-0.731456	-0.731456	0.016011	0.016011	0.067741	0.067741	-4.255674	-4.255674	-3.217752	-3.217752
0.920000	2.848783	3.472086	0.010831	0.000000	-0.360778	-0.360778	0.095344	0.095344	3.566362	3.566362	3.580598	3.580598	20.673474	20.673474	25.782827	25.782827
0.940000	5.333874	7.938225	-0.004891	0.000000	1.099799	1.099799	0.927673	0.927673	6.817246	6.817246	6.788946	6.788946	44.725094	44.725094	53.493763	53.493763
0.960000	7.323168	11.759061	-0.019544	0.000000	2.495833	2.495833	1.717445	1.717445	9.469075	9.469075	9.422874	9.422874	65.694565	65.694565	78.375104	78.375104
0.980000	8.623081	14.595634	-0.031908	0.000000	3.711739	3.711739	2.408929	2.408929	11.279291	11.279291	11.231421	11.231421	82.027076	82.027076	98.229503	98.229503
1.000000	9.097314	16.174097	-0.041854	0.000000	4.661983	4.661983	2.935553	2.935553	12.064962	12.064962	12.017514	12.017514	92.249103	92.249103	110.707964	110.707964
1.020000	8.684411	16.314582	-0.049570	0.000000	5.286855	5.286855	3.232152	3.232152	11.717907	11.717907	11.669538	11.669538	94.841015	94.841015	113.848379	113.848379
1.040000	7.409135	14.954486	-0.054620	0.000000	5.500505	5.500505	3.247748	3.247748	10.259202	10.259202	10.190579	10.190579	89.650739	89.650739	106.750022	106.750022
1.060000	5.385720	12.158632	-0.055522	-0.000000	5.215596	5.215596	2.944484	2.944484	7.812907	7.812907	7.718004	7.718004	76.918952	76.918952	90.235221	90.235221
1.080000	2.811672	8.120944	-0.050235	-0.000000	4.400845	4.400845	2.354687	2.354687	4.552551	4.552551	4.452656	4.452656	55.900202	55.900202	64.376994	64.376994
1.100000	-0.048248	3.163591	-0.038269	-0.000000	3.077889	3.077889	1.501870	1.501870	0.763441	0.763441	0.700901	0.700901	27.145917	27.145917	30.712907	30.712907
1.120000	-2.887101	-2.273968	-0.021431	-0.000000	1.327169	1.327169	0.429975	0.429975	-3.159100	-3.159100	-3.185355	-3.185355	-6.614337	-6.614337	-9.077299	-9.077299
1.140000	-5.387947	-7.665315	-0.001908	-0.000000	-0.701749	-0.701749	-0.789301	-0.789301	-6.798927	-6.798927	-6.806406	-6.806406	-42.293863	-42.293863	-51.874223	-51.874223
1.160000	-7.260000	-12.441517	0.018984	-0.000000	-2.824597	-2.824597	-2.040864	-2.040864	-9.758238	-9.758238	-9.749813	-9.749813	-76.545406	-76.545406	-93.051745	-93.051745
1.180000	-8.274740	-16.048654	0.040049	0.000000	-4.829049	-4.829049	-3.178461	-3.178461	-11.688526	-11.688526	-11.649801	-11.649801	-105.604035	-105.604035	-127.354274	-127.354274
1.200000	-8.297413	-18.013512	0.059157	0.000000	-6.477254	-6.477254	-4.051133	-4.051133	-12.325909	-12.325909	-12.245920	-12.245920	-125.400154	-125.400154	-149.935596	-149.935596
1.220000	-7.309405	-18.009457	0.073359	-0.000000	-7.527293	-7.527293	-4.526317	-4.526317	-11.535856	-11.535856	-11.420838	-11.420838	-132.253909	-132.253909	-156.957934	-156.957934
1.240000	-5.417578	-15.913455	0.079880	-0.000000	-7.775703	-7.775703	-4.512321	-4.512321	-9.348128	-9.348128	-9.211017	-9.211017	-123.689670	-123.689670	-145.667915	-145.667915
1.260000	-2.847982	-11.851821	0.077399	0.000000	-7.170501	-7.170501	-3.982057	-3.982057	-5.909886	-5.909886	-5.800838	-5.800838	-97.174688	-97.174688	-114.360145	-114.360145
1.280000	0.076838	-6.212038	0.066076	0.000000	-5.602365	-5.602365	-2.899825	-2.899825	-1.735945	-1.735945	-1.613124	-1.613124	-58.519795	-58.519795	-66.728482	-66.728482
1.300000	2.975449	0.396341	0.045862	0.000000	-3.207677	-3.207677	-1.345989	-1.345989	2.723634	2.723634	2.833908	2.833908	-9.978255	-9.978255	-7.963715	-7.963715
