ChassisSim Rig Replay Log
R LS Bump 13K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.746383	-0.074222	-0.002264	0.000000	0.665635	0.665635	0.412523	0.412523	-0.778170	-0.778170	-0.593595	-0.593595	30.890117	30.890117	44.485421	44.485421
0.040000	-3.713430	-0.662362	-0.014389	0.000000	1.864450	1.864450	1.136749	1.136749	-2.376516	-2.376516	-2.239542	-2.239542	42.334246	42.334246	57.068263	57.068263
0.060000	-5.614855	-2.010226	-0.031361	0.000000	2.590415	2.590415	1.478986	1.478986	-4.083495	-4.083495	-4.320205	-4.320205	48.585194	48.585194	50.398045	50.398045
0.080000	-7.411607	-4.116747	-0.035206	0.000000	2.720565	2.720565	1.411306	1.411306	-6.221829	-6.221829	-6.426029	-6.426029	38.112342	38.112342	38.593626	38.593626
0.100000	-9.062720	-6.830869	-0.024246	-0.000000	2.064772	2.064772	1.015948	1.015948	-8.479606	-8.479606	-8.465012	-8.465012	19.226430	19.226430	23.913193	23.913193
0.120000	-10.526355	-9.893997	-0.010404	-0.000000	0.940516	0.940516	0.411058	0.411058	-10.647301	-10.647301	-10.558517	-10.558517	-2.772452	-2.772452	-0.006653	-0.006653
0.140000	-11.761057	-12.972750	0.000302	-0.000000	-0.353516	-0.353516	-0.376336	-0.376336	-12.564810	-12.564810	-12.533598	-12.533598	-24.165119	-24.165119	-28.240323	-28.240323
0.160000	-12.727217	-15.705061	0.010436	-0.000000	-1.626418	-1.626418	-1.175015	-1.175015	-14.147085	-14.147085	-14.165160	-14.165160	-43.521948	-43.521948	-53.765195	-53.765195
0.180000	-13.388693	-17.763386	0.022867	-0.000000	-2.742948	-2.742948	-1.804176	-1.804176	-15.291075	-15.291075	-15.265062	-15.265062	-58.780439	-58.780439	-70.752211	-70.752211
0.200000	-13.714571	-18.909252	0.035191	-0.000000	-3.548860	-3.548860	-2.159876	-2.159876	-15.867814	-15.867814	-15.759510	-15.759510	-66.887976	-66.887976	-77.510270	-77.510270
0.220000	-13.680993	-19.027664	0.042322	-0.000000	-3.897995	-3.897995	-2.232592	-2.232592	-15.792029	-15.792029	-15.650341	-15.650341	-65.894600	-65.894600	-74.998008	-74.998008
0.240000	-13.272985	-18.139583	0.041296	-0.000000	-3.751656	-3.751656	-2.111729	-2.111729	-15.047920	-15.047920	-14.921403	-14.921403	-55.751781	-55.751781	-63.161816	-63.161816
0.260000	-12.486192	-16.391040	0.033610	-0.000000	-3.189198	-3.189198	-1.811367	-1.811367	-13.731647	-13.731647	-13.672637	-13.672637	-39.499011	-39.499011	-45.897692	-45.897692
0.280000	-11.328425	-14.011172	0.023257	-0.000000	-2.351363	-2.351363	-1.374297	-1.374297	-12.017413	-12.017413	-11.999809	-11.999809	-22.341483	-22.341483	-26.566575	-26.566575
0.300000	-9.820894	-11.254058	0.013289	-0.000000	-1.438954	-1.438954	-0.876898	-0.876898	-10.015587	-10.015587	-10.007149	-10.007149	-7.073104	-7.073104	-8.301660	-8.301660
0.320000	-7.999018	-8.352608	0.004673	-0.000000	-0.608033	-0.608033	-0.404545	-0.404545	-7.811682	-7.811682	-7.812195	-7.812195	4.739797	4.739797	5.773598	5.773598
