ChassisSim Rig Replay Log
R LS Bump 15K N/m/s, bypass 40mm, R LS Rebound 10K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020747	-1.931486	-0.098797	-0.004183	-0.000000	0.778155	0.778155	0.353901	0.353901	-0.868417	-0.868417	-0.586561	-0.586561	33.511940	33.511940	51.448210	51.448210
0.041494	-3.966208	-0.802459	-0.022837	-0.000000	2.027167	2.027167	0.973836	0.973836	-2.471815	-2.471815	-2.373334	-2.373334	46.908829	46.908829	61.155304	61.155304
0.062241	-5.924960	-2.356813	-0.043429	-0.000000	2.753177	2.753177	1.288536	1.288536	-4.293954	-4.293954	-4.710524	-4.710524	51.314174	51.314174	46.836257	46.836257
0.082989	-7.763775	-4.703191	-0.038758	-0.000000	2.677953	2.677953	1.261456	1.261456	-6.668437	-6.668437	-6.925030	-6.925030	34.730212	34.730212	32.495358	32.495358
0.103736	-9.436656	-7.613173	-0.013755	0.000000	1.686306	1.686306	0.987447	0.987447	-9.118628	-9.118628	-8.998480	-8.998480	10.513026	10.513026	17.297123	17.297123
0.124483	-10.896876	-10.763346	0.008039	-0.000000	0.334508	0.334508	0.499191	0.499191	-11.330534	-11.330534	-11.141855	-11.141855	-12.973440	-12.973440	-8.626066	-8.626066
0.145230	-12.098549	-13.770710	0.019398	-0.000000	-0.992733	-0.992733	-0.195187	-0.195187	-13.158776	-13.158776	-13.135476	-13.135476	-32.572890	-32.572890	-38.798138	-38.798138
0.165977	-12.998435	-16.252666	0.028613	-0.000000	-2.155299	-2.155299	-0.930522	-0.930522	-14.589664	-14.589664	-14.605656	-14.605656	-49.211587	-49.211587	-60.650166	-60.650166
0.186724	-13.557944	-17.908495	0.039048	-0.000000	-3.067526	-3.067526	-1.503661	-1.503661	-15.505366	-15.505366	-15.405546	-15.405546	-60.452289	-60.452289	-69.981485	-69.981485
0.207471	-13.745287	-18.570273	0.044565	0.000000	-3.568632	-3.568632	-1.825537	-1.825537	-15.757889	-15.757889	-15.595062	-15.595062	-62.662223	-62.662223	-70.244449	-70.244449
0.228218	-13.537678	-18.210965	0.041027	0.000000	-3.562246	-3.562246	-1.907957	-1.907957	-15.318422	-15.318422	-15.221236	-15.221236	-55.620922	-55.620922	-64.115458	-64.115458
0.248966	-12.923502	-16.930468	0.032035	0.000000	-3.144133	-3.144133	-1.804303	-1.804303	-14.272748	-14.272748	-14.248142	-14.248142	-42.322837	-42.322837	-50.679493	-50.679493
0.269713	-11.904309	-14.926265	0.022198	0.000000	-2.451040	-2.451040	-1.539573	-1.539573	-12.785391	-12.785391	-12.748056	-12.748056	-27.856399	-27.856399	-32.564789	-32.564789
0.290460	-10.496504	-12.442323	0.012131	0.000000	-1.654212	-1.654212	-1.166271	-1.166271	-10.926217	-10.926217	-10.892988	-10.892988	-13.894484	-13.894484	-15.674283	-15.674283
0.311207	-8.732579	-9.711034	0.002334	-0.000000	-0.888614	-0.888614	-0.773304	-0.773304	-8.790807	-8.790807	-8.805884	-8.805884	-2.388924	-2.388924	-3.469845	-3.469845
0.331954	-6.661733	-6.912449	-0.004582	-0.000000	-0.277042	-0.277042	-0.431431	-0.431431	-6.490597	-6.490597	-6.533162	-6.533162	4.718158	4.718158	4.140233	4.140233
0.352701	-4.349724	-4.158020	-0.007120	0.000000	0.104667	0.104667	-0.173904	-0.173904	-4.092297	-4.092297	-4.117860	-4.117860	7.382688	7.382688	8.026296	8.026296
0.373448	-1.877822	-1.495572	-0.006583	0.000000	0.267325	0.267325	-0.008978	-0.008978	-1.622777	-1.622777	-1.626435	-1.626435	7.293527	7.293527	8.753816	8.753816
0.394195	0.659227	1.072503	-0.005027	0.000000	0.286714	0.286714	0.073473	0.073473	0.884335	0.884335	0.883676	0.883676	6.358049	6.358049	7.731993	7.731993
0.414943	3.156312	3.562680	-0.003521	0.000000	0.254019	0.254019	0.105226	0.105226	3.371817	3.371817	3.370772	3.370772	6.074702	6.074702	7.367616	7.367616
