ChassisSim Rig Replay Log
R LS Bump 15K N/m/s, bypass 35mm, R LS Rebound 8K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.021446	-1.960714	-0.105170	-0.004124	0.000000	0.806492	0.806492	0.392825	0.392825	-0.911599	-0.911599	-0.637059	-0.637059	33.205695	33.205695	50.773900	50.773900
0.042891	-4.062045	-0.859549	-0.022733	0.000000	2.065146	2.065146	1.051894	1.051894	-2.575887	-2.575887	-2.516031	-2.516031	46.776669	46.776669	59.574734	59.574734
0.064337	-6.080003	-2.518181	-0.041883	0.000000	2.763459	2.763459	1.346994	1.346994	-4.506881	-4.506881	-4.903800	-4.903800	49.685793	49.685793	45.579324	45.579324
0.085783	-7.965856	-5.008125	-0.035280	-0.000000	2.593065	2.593065	1.258330	1.258330	-6.966444	-6.966444	-7.151282	-7.151282	31.919452	31.919452	31.758397	31.758397
0.107229	-9.668666	-8.073677	-0.011643	0.000000	1.526715	1.526715	0.893865	0.893865	-9.453013	-9.453013	-9.308063	-9.308063	7.484093	7.484093	14.555718	14.555718
0.128674	-11.136859	-11.352565	0.006499	0.000000	0.145772	0.145772	0.285003	0.285003	-11.666697	-11.666697	-11.522804	-11.522804	-15.838480	-15.838480	-13.798850	-13.798850
0.150120	-12.320114	-14.417354	0.016051	0.000000	-1.197680	-1.197680	-0.513903	-0.513903	-13.487787	-13.487787	-13.496367	-13.496367	-35.817505	-35.817505	-43.971942	-43.971942
0.171566	-13.171532	-16.853260	0.025994	0.000000	-2.376222	-2.376222	-1.273453	-1.273453	-14.874369	-14.874369	-14.879409	-14.879409	-52.632786	-52.632786	-64.422855	-64.422855
0.193011	-13.650051	-18.346638	0.037252	0.000000	-3.267158	-3.267158	-1.790691	-1.790691	-15.674059	-15.674059	-15.562770	-15.562770	-62.846137	-62.846137	-72.467396	-72.467396
0.214457	-13.722993	-18.736751	0.042657	0.000000	-3.685374	-3.685374	-2.012543	-2.012543	-15.745938	-15.745938	-15.595073	-15.595073	-63.055687	-63.055687	-71.171032	-71.171032
0.235903	-13.368675	-18.024846	0.038997	0.000000	-3.564971	-3.564971	-1.986953	-1.986953	-15.078617	-15.078617	-14.991567	-14.991567	-53.544902	-53.544902	-61.971866	-61.971866
0.257349	-12.578912	-16.359977	0.029913	0.000000	-3.016511	-3.016511	-1.780362	-1.780362	-13.791980	-13.791980	-13.751018	-13.751018	-38.245773	-38.245773	-45.085940	-45.085940
0.278794	-11.361270	-13.994398	0.019276	0.000000	-2.205797	-2.205797	-1.414990	-1.414990	-12.053323	-12.053323	-12.018464	-12.018464	-22.160449	-22.160449	-25.699799	-25.699799
0.300240	-9.740880	-11.211773	0.008524	0.000000	-1.331171	-1.331171	-0.973514	-0.973514	-9.963603	-9.963603	-9.954712	-9.954712	-7.647963	-7.647963	-8.974131	-8.974131
0.321686	-7.761622	-8.262937	-0.000557	0.000000	-0.554238	-0.554238	-0.551551	-0.551551	-7.640746	-7.640746	-7.666642	-7.666642	2.989231	2.989231	2.674296	2.674296
0.343132	-5.486479	-5.327058	-0.005910	0.000000	0.004908	0.004908	-0.214592	-0.214592	-5.184474	-5.184474	-5.217502	-5.217502	8.595017	8.595017	9.228098	9.228098
0.364577	-2.996883	-2.500557	-0.007331	0.000000	0.304439	0.304439	0.009951	0.009951	-2.651094	-2.651094	-2.669299	-2.669299	9.939014	9.939014	11.427003	11.427003
0.386023	-0.390901	0.190713	-0.006347	-0.000000	0.388872	0.388872	0.124945	0.124945	-0.077154	-0.077154	-0.083807	-0.083807	8.935456	8.935456	10.645271	10.645271
0.407469	2.219842	2.763475	-0.004537	-0.000000	0.349453	0.349453	0.160362	0.160362	2.493327	2.493327	2.488641	2.488641	7.692781	7.692781	9.206113	9.206113
0.428914	4.714532	5.241302	-0.003052	-0.000000	0.303202	0.303202	0.166516	0.166516	4.983471	4.983471	4.991146	4.991146	7.590627	7.590627	9.545105	9.545105
0.450360	6.968777	7.621899	-0.003256	0.000000	0.348087	0.348087	0.196874	0.196874	7.318030	7.318030	7.333198	7.333198	10.152001	10.152001	12.961634	12.961634
0.471806	8.861288	9.853794	-0.006030	0.000000	0.547889	0.547889	0.290008	0.290008	9.397801	9.397801	9.401955	9.401955	16.083835	16.083835	19.781326	19.781326
0.493252	10.281362	11.828177	-0.011029	0.000000	0.922883	0.922883	0.464648	0.464648	11.083249	11.083249	11.075386	11.075386	24.491315	24.491315	29.578074	29.578074
0.514697	11.136762	13.388809	-0.017417	0.000000	1.434089	1.434089	0.715306	0.715306	12.240303	12.240303	12.221370	12.221370	34.069487	34.069487	40.840333	40.840333
0.536143	11.361487	14.355702	-0.024228	0.000000	2.005483	2.005483	1.011103	1.011103	12.748748	12.748748	12.714989	12.714989	43.124837	43.124837	51.323158	51.323158
0.557589	10.922831	14.557541	-0.030183	0.000000	2.536959	2.536959	1.303437	1.303437	12.515546	12.515546	12.466172	12.466172	49.768161	49.768161	58.831334	58.831334
0.579034	9.827054	13.865792	-0.033893	0.000000	2.922076	2.922076	1.538298	1.538298	11.494371	11.494371	11.435841	11.435841	52.344606	52.344606	61.622234	61.622234
0.600480	8.122998	12.223568	-0.034356	0.000000	3.070787	3.070787	1.666482	1.666482	9.702108	9.702108	9.642913	9.642913	49.837742	49.837742	58.536018	58.536018
0.621926	5.903015	9.663089	-0.031061	0.000000	2.908856	2.908856	1.641409	1.641409	7.240119	7.240119	7.182384	7.182384	42.497637	42.497637	49.633786	49.633786
0.643372	3.300671	6.305266	-0.024386	-0.000000	2.427863	2.427863	1.415386	1.415386	4.247168	4.247168	4.219408	4.219408	30.487384	30.487384	36.119674	36.119674
0.664817	0.484921	2.354817	-0.015605	-0.000000	1.667733	1.667733	1.016478	1.016478	0.916690	0.916690	0.900317	0.900317	14.539064	14.539064	17.111268	17.111268
0.686263	-2.349329	-1.906261	-0.005364	-0.000000	0.685260	0.685260	0.468526	0.468526	-2.516003	-2.516003	-2.533312	-2.533312	-4.091416	-4.091416	-5.649682	-5.649682
0.707709	-4.993997	-6.139800	0.006482	0.000000	-0.445550	-0.445550	-0.174676	-0.174676	-5.798940	-5.798940	-5.800297	-5.800297	-24.046992	-24.046992	-29.391523	-29.391523
0.729154	-7.243320	-9.984501	0.019103	0.000000	-1.625241	-1.625241	-0.844989	-0.844989	-8.660153	-8.660153	-8.632699	-8.632699	-43.269135	-43.269135	-51.743437	-51.743437
0.750600	-8.911065	-13.092335	0.030680	-0.000000	-2.730102	-2.730102	-1.477517	-1.477517	-10.842085	-10.842085	-10.793074	-10.793074	-59.526921	-59.526921	-70.748886	-70.748886
0.772046	-9.848080	-15.163673	0.039682	-0.000000	-3.639407	-3.639407	-2.011863	-2.011863	-12.139355	-12.139355	-12.081346	-12.081346	-71.049185	-71.049185	-84.456950	-84.456950
0.793492	-9.958574	-15.978569	0.045366	0.000000	-4.257236	-4.257236	-2.391286	-2.391286	-12.418965	-12.418965	-12.356315	-12.356315	-76.653024	-76.653024	-91.115199	-91.115199
0.814937	-9.213329	-15.421574	0.047313	0.000000	-4.516389	-4.516389	-2.569816	-2.569816	-11.629008	-11.629008	-11.562255	-11.562255	-75.605006	-75.605006	-89.680290	-89.680290
0.836383	-7.658059	-13.498968	0.045129	-0.000000	-4.393001	-4.393001	-2.536778	-2.536778	-9.791257	-9.791257	-9.724987	-9.724987	-67.140928	-67.140928	-79.373808	-79.373808
0.857829	-5.415392	-10.351778	0.038356	-0.000000	-3.883322	-3.883322	-2.315652	-2.315652	-7.039509	-7.039509	-6.969519	-6.969519	-51.551979	-51.551979	-60.216534	-60.216534
0.879274	-2.679334	-6.248001	0.026838	-0.000000	-2.995793	-2.995793	-1.897107	-1.897107	-3.627395	-3.627395	-3.577238	-3.577238	-30.678904	-30.678904	-35.498298	-35.498298
0.900720	0.298217	-1.550699	0.011592	-0.000000	-1.787656	-1.787656	-1.310864	-1.310864	0.119409	0.119409	0.143658	0.143658	-6.787272	-6.787272	-7.346940	-7.346940
0.922166	3.228536	3.317554	-0.005588	0.000000	-0.372942	-0.372942	-0.599472	-0.599472	3.859511	3.859511	3.856013	3.856013	18.470182	18.470182	22.410418	22.410418
0.943612	5.813377	7.905092	-0.022769	0.000000	1.117710	1.117710	0.187461	0.187461	7.235952	7.235952	7.204349	7.204349	43.282954	43.282954	51.602639	51.602639
0.965057	7.776224	11.763823	-0.038049	0.000000	2.554419	2.554419	0.991169	0.991169	9.895841	9.895841	9.846334	9.846334	65.257413	65.257413	77.720995	77.720995
0.986503	8.894360	14.489105	-0.050046	-0.000000	3.802319	3.802319	1.742441	1.742441	11.548528	11.548528	11.483630	11.483630	82.256321	82.256321	97.869484	97.869484
1.007949	9.028006	15.762470	-0.057738	-0.000000	4.748007	4.748007	2.364416	2.364416	11.974547	11.974547	11.904882	11.904882	91.776690	91.776690	109.290469	109.290469
1.029395	8.142616	15.394955	-0.060652	-0.000000	5.286723	5.286723	2.780212	2.780212	11.089528	11.089528	11.016485	11.016485	92.203353	92.203353	109.689569	109.689569
1.050840	6.320645	13.359592	-0.058130	-0.000000	5.310215	5.310215	2.925941	2.925941	8.969459	8.969459	8.876196	8.876196	83.294237	83.294237	98.063216	98.063216
1.072286	3.759988	9.799516	-0.048951	-0.000000	4.719002	4.719002	2.707169	2.707169	5.835400	5.835400	5.758622	5.758622	65.739078	65.739078	77.240899	77.240899
1.093732	0.757633	5.019332	-0.034229	0.000000	3.556098	3.556098	2.122211	2.122211	1.972130	1.972130	1.944463	1.944463	39.112289	39.112289	46.645454	46.645454
1.115177	-2.321097	-0.519230	-0.016402	-0.000000	1.890002	1.890002	1.214904	1.214904	-2.172116	-2.172116	-2.204454	-2.204454	5.968552	5.968552	6.057567	6.057567
1.136623	-5.085275	-6.217040	0.003963	-0.000000	-0.149722	-0.149722	0.018015	0.018015	-6.128027	-6.128027	-6.137736	-6.137736	-31.260731	-31.260731	-38.513123	-38.513123
1.158069	-7.168579	-11.396106	0.025984	-0.000000	-2.378722	-2.378722	-1.298984	-1.298984	-9.400430	-9.400430	-9.386507	-9.386507	-68.564134	-68.564134	-83.101081	-83.101081
1.179515	-8.280726	-15.372327	0.047967	-0.000000	-4.543394	-4.543394	-2.545280	-2.545280	-11.543720	-11.543720	-11.513768	-11.513768	-101.078205	-101.078205	-122.155000	-122.155000
1.200960	-8.252855	-17.542233	0.067946	-0.000000	-6.348776	-6.348776	-3.552207	-3.552207	-12.231569	-12.231569	-12.144632	-12.144632	-123.861618	-123.861618	-147.807768	-147.807768
