ChassisSim Rig Replay Log
R LS Bump 15K N/m/s, bypass 35mm, R LS Rebound 10K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020225	-1.862551	-0.088384	-0.003582	0.000000	0.731293	0.731293	0.357434	0.357434	-0.823006	-0.823006	-0.568379	-0.568379	32.829873	32.829873	49.566336	49.566336
0.040451	-3.848603	-0.735092	-0.020133	0.000000	1.959518	1.959518	0.994824	0.994824	-2.400575	-2.400575	-2.272797	-2.272797	45.514796	45.514796	60.571160	60.571160
0.060676	-5.764837	-2.181872	-0.040117	0.000000	2.695512	2.695512	1.327081	1.327081	-4.141850	-4.141850	-4.508490	-4.508490	51.114921	51.114921	48.512535	48.512535
0.080901	-7.570690	-4.393777	-0.039031	0.000000	2.724654	2.724654	1.313123	1.313123	-6.404568	-6.404568	-6.678616	-6.678616	37.003784	37.003784	34.610135	34.610135
0.101126	-9.223674	-7.176630	-0.017852	0.000000	1.870511	1.870511	1.046562	1.046562	-8.779936	-8.779936	-8.714057	-8.714057	14.505389	14.505389	20.091301	20.091301
0.121352	-10.680501	-10.241403	0.003464	-0.000000	0.597961	0.597961	0.576820	0.576820	-10.981189	-10.981189	-10.802566	-10.802566	-8.749875	-8.749875	-3.873916	-3.873916
0.141577	-11.898437	-13.238493	0.015915	-0.000000	-0.717683	-0.717683	-0.094035	-0.094035	-12.839983	-12.839983	-12.788569	-12.788569	-28.802236	-28.802236	-33.125936	-33.125936
0.161802	-12.836862	-15.806180	0.025071	0.000000	-1.905394	-1.905394	-0.830905	-0.830905	-14.327092	-14.327092	-14.343764	-14.343764	-45.997624	-45.997624	-56.742341	-56.742341
0.182028	-13.459011	-17.642086	0.035373	-0.000000	-2.878898	-2.878898	-1.441606	-1.441606	-15.351304	-15.351304	-15.284820	-15.284820	-58.670331	-58.670331	-69.076516	-69.076516
0.202253	-13.733846	-18.555036	0.042841	-0.000000	-3.498817	-3.498817	-1.817579	-1.817579	-15.773648	-15.773648	-15.624343	-15.624343	-63.455509	-63.455509	-71.739444	-71.739444
0.222478	-13.637992	-18.482200	0.042530	-0.000000	-3.643391	-3.643391	-1.951867	-1.951867	-15.537317	-15.537317	-15.411379	-15.411379	-59.277580	-59.277580	-67.492115	-67.492115
0.242704	-13.157667	-17.482230	0.035616	-0.000000	-3.359127	-3.359127	-1.886384	-1.886384	-14.678017	-14.678017	-14.632619	-14.632619	-47.650310	-47.650310	-56.374477	-56.374477
0.262929	-12.290485	-15.714969	0.026447	-0.000000	-2.753846	-2.753846	-1.656936	-1.656936	-13.348282	-13.348282	-13.316449	-13.316449	-33.375947	-33.375947	-39.503579	-39.503579
0.283154	-11.047049	-13.401078	0.016934	-0.000000	-1.986177	-1.986177	-1.298774	-1.298774	-11.641728	-11.641728	-11.603259	-11.603259	-19.065077	-19.065077	-21.788321	-21.788321
0.303379	-9.452174	-10.769337	0.007275	-0.000000	-1.197423	-1.197423	-0.892147	-0.892147	-9.635614	-9.635614	-9.628225	-9.628225	-6.340410	-6.340410	-7.435814	-7.435814
0.323605	-7.545638	-8.014169	-0.000877	-0.000000	-0.508726	-0.508726	-0.516099	-0.516099	-7.432723	-7.432723	-7.463144	-7.463144	2.838919	2.838919	2.317317	2.317317
0.343830	-5.382324	-5.271655	-0.005536	-0.000000	-0.014706	-0.014706	-0.217783	-0.217783	-5.116009	-5.116009	-5.149934	-5.149934	7.587369	7.587369	7.962542	7.962542
0.364055	-3.031624	-2.615235	-0.006671	-0.000000	0.254849	0.254849	-0.014424	-0.014424	-2.727398	-2.727398	-2.742526	-2.742526	8.749930	8.749930	10.092216	10.092216
0.384281	-0.576027	-0.066222	-0.005834	-0.000000	0.341394	0.341394	0.096875	0.096875	-0.294693	-0.294693	-0.298529	-0.298529	8.029630	8.029630	9.647435	9.647435
0.404506	1.891199	2.385956	-0.004414	-0.000000	0.322661	0.322661	0.138568	0.138568	2.142189	2.142189	2.137986	2.137986	7.091235	7.091235	8.491378	8.491378
