ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 40mm, R LS Rebound 10K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.021231	-1.985024	-0.107801	-0.004656	0.000000	0.816553	0.816553	0.354750	0.354750	-0.907363	-0.907363	-0.606134	-0.606134	33.950367	33.950367	52.726241	52.726241
0.042461	-4.064926	-0.862548	-0.024959	-0.000000	2.082390	2.082390	0.965977	0.965977	-2.537802	-2.537802	-2.469297	-2.469297	47.913194	47.913194	61.245690	61.245690
0.063692	-6.063061	-2.513611	-0.045626	-0.000000	2.794305	2.794305	1.265434	1.265434	-4.438821	-4.438821	-4.888050	-4.888050	51.094577	51.094577	45.310443	45.310443
0.084922	-7.932157	-4.980375	-0.037708	-0.000000	2.620324	2.620324	1.221701	1.221701	-6.908055	-6.908055	-7.135712	-7.135712	32.491375	32.491375	30.855586	30.855586
0.106153	-9.622809	-8.003802	-0.010228	-0.000000	1.518669	1.518669	0.928010	0.928010	-9.414420	-9.414420	-9.248275	-9.248275	7.069159	7.069159	14.856166	14.856166
0.127383	-11.084970	-11.228971	0.010859	-0.000000	0.114223	0.114223	0.404711	0.404711	-11.625123	-11.625123	-11.442694	-11.442694	-16.325370	-16.325370	-12.937669	-12.937669
0.148614	-12.269738	-14.242065	0.020920	-0.000000	-1.213295	-1.213295	-0.325815	-0.325815	-13.425379	-13.425379	-13.429638	-13.429638	-35.577441	-35.577441	-43.516101	-43.516101
0.169844	-13.131416	-16.642628	0.030343	-0.000000	-2.354134	-2.354134	-1.062601	-1.062601	-14.804433	-14.804433	-14.812772	-14.812772	-51.794367	-51.794367	-63.520240	-63.520240
0.191075	-13.629790	-18.132968	0.040802	-0.000000	-3.212100	-3.212100	-1.596726	-1.596726	-15.615793	-15.615793	-15.490126	-15.490126	-61.695375	-61.695375	-70.511699	-70.511699
0.212305	-13.732555	-18.566296	0.044579	-0.000000	-3.607681	-3.607681	-1.862762	-1.862762	-15.712134	-15.712134	-15.550036	-15.550036	-61.674374	-61.674374	-69.057108	-69.057108
0.233536	-13.417797	-17.947481	0.038897	0.000000	-3.480924	-3.480924	-1.891659	-1.891659	-15.090939	-15.090939	-15.021381	-15.021381	-52.302787	-52.302787	-61.120711	-61.120711
0.254767	-12.676380	-16.414112	0.028927	0.000000	-2.954871	-2.954871	-1.745237	-1.745237	-13.886557	-13.886557	-13.863598	-13.863598	-38.010588	-38.010588	-45.491238	-45.491238
0.275997	-11.514122	-14.197977	0.018597	0.000000	-2.196331	-2.196331	-1.443143	-1.443143	-12.246722	-12.246722	-12.203311	-12.203311	-23.245146	-23.245146	-26.705590	-26.705590
0.297228	-9.953566	-11.562373	0.007911	0.000000	-1.377555	-1.377555	-1.055151	-1.055151	-10.243814	-10.243814	-10.225763	-10.225763	-9.553269	-9.553269	-10.950441	-10.950441
0.318458	-8.035175	-8.740209	-0.001577	-0.000000	-0.639188	-0.639188	-0.672820	-0.672820	-7.994855	-7.994855	-8.029259	-8.029259	0.690427	0.690427	-0.452220	-0.452220
0.339689	-5.817770	-5.896905	-0.006880	0.000000	-0.103402	-0.103402	-0.356418	-0.356418	-5.607315	-5.607315	-5.649269	-5.649269	5.960039	5.960039	5.671856	5.671856
0.360919	-3.378038	-3.122325	-0.007666	0.000000	0.183074	0.183074	-0.129673	-0.129673	-3.128630	-3.128630	-3.142473	-3.142473	7.152900	7.152900	8.191427	8.191427
0.382150	-0.808960	-0.443635	-0.006196	0.000000	0.269394	0.269394	0.005064	0.005064	-0.582613	-0.582613	-0.581574	-0.581574	6.423384	6.423384	7.873793	7.873793
0.403380	1.782938	2.149645	-0.004363	0.000000	0.250363	0.250363	0.066572	0.066572	1.984793	1.984793	1.982718	1.982718	5.663632	5.663632	6.830701	6.830701
0.424611	4.281550	4.673509	-0.003007	0.000000	0.230096	0.230096	0.096193	0.096193	4.495609	4.495609	4.502475	4.502475	6.067653	6.067653	7.656802	7.656802
