ChassisSim Rig Replay Log
R LS Bump 13K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.560000	10.859643	14.488587	-0.028846	0.000000	2.509454	2.509454	1.333773	1.333773	12.439866	12.439866	12.390523	12.390523	49.475226	49.475226	58.473023	58.473023
0.580000	9.810376	13.856692	-0.032735	0.000000	2.907542	2.907542	1.570075	1.570075	11.469572	11.469572	11.415153	11.415153	52.262862	52.262862	61.676152	61.676152
0.600000	8.232392	12.388204	-0.034028	0.000000	3.098864	3.098864	1.707376	1.707376	9.826285	9.826285	9.768967	9.768967	50.542371	50.542371	59.465246	59.465246
0.620000	6.199859	10.097176	-0.032292	0.000000	3.020251	3.020251	1.698321	1.698321	7.582984	7.582984	7.528199	7.528199	44.239844	44.239844	51.863205	51.863205
0.640000	3.818348	7.066422	-0.028210	0.000000	2.645213	2.645213	1.459944	1.459944	4.867965	4.867965	4.852192	4.852192	34.062063	34.062063	40.936949	40.936949
0.660000	1.220945	3.445703	-0.022863	-0.000000	2.012306	2.012306	1.056582	1.056582	1.816210	1.816210	1.796047	1.796047	20.039892	20.039892	23.690383	23.690383
0.680000	-1.438009	-0.548102	-0.016048	-0.000000	1.149504	1.149504	0.496542	0.496542	-1.391933	-1.391933	-1.428756	-1.428756	2.981303	2.981303	2.246014	2.246014
0.700000	-3.991449	-4.640989	-0.006536	-0.000000	0.100980	0.100980	-0.157671	-0.157671	-4.563676	-4.563676	-4.592030	-4.592030	-16.330929	-16.330929	-21.006553	-21.006553
0.720000	-6.270031	-8.526433	0.005482	-0.000000	-1.059320	-1.059320	-0.839601	-0.839601	-7.470434	-7.470434	-7.465089	-7.465089	-36.064123	-36.064123	-43.803676	-43.803676
0.740000	-8.113961	-11.893788	0.018163	0.000000	-2.218507	-2.218507	-1.490037	-1.490037	-9.879734	-9.879734	-9.841969	-9.841969	-53.949418	-53.949418	-64.379821	-64.379821
0.760000	-9.385435	-14.457758	0.029514	-0.000000	-3.253082	-3.253082	-2.055337	-2.055337	-11.591705	-11.591705	-11.539224	-11.539224	-68.032171	-68.032171	-80.987821	-80.987821
0.780000	-9.980753	-15.985603	0.038493	0.000000	-4.058794	-4.058794	-2.481612	-2.481612	-12.461949	-12.461949	-12.406054	-12.406054	-77.017014	-77.017014	-91.815055	-91.815055
0.800000	-9.841046	-16.320194	0.044759	0.000000	-4.560960	-4.560960	-2.720297	-2.720297	-12.406957	-12.406957	-12.346333	-12.346333	-80.107586	-80.107586	-95.408399	-95.408399
0.820000	-8.960496	-15.397302	0.047836	0.000000	-4.708981	-4.708981	-2.747925	-2.747925	-11.406004	-11.406004	-11.331033	-11.331033	-76.810650	-76.810650	-90.856706	-90.856706
0.840000	-7.391004	-13.261630	0.046227	-0.000000	-4.493699	-4.493699	-2.620357	-2.620357	-9.474267	-9.474267	-9.374317	-9.374317	-65.964946	-65.964946	-76.657151	-76.657151
0.860000	-5.242403	-10.071345	0.038805	0.000000	-3.898142	-3.898142	-2.315276	-2.315276	-6.760044	-6.760044	-6.683685	-6.683685	-48.682985	-48.682985	-56.445762	-56.445762
0.880000	-2.677624	-6.079256	0.026728	0.000000	-2.959472	-2.959472	-1.844561	-1.844561	-3.503251	-3.503251	-3.473480	-3.473480	-27.340806	-27.340806	-32.186497	-32.186497
0.900000	0.097399	-1.600922	0.012318	0.000000	-1.754127	-1.754127	-1.236608	-1.236608	0.005714	0.005714	0.021623	0.021623	-4.559241	-4.559241	-4.941028	-4.941028
0.920000	2.848783	3.009280	-0.003056	0.000000	-0.407582	-0.407582	-0.527193	-0.527193	3.516649	3.516649	3.516251	3.516251	19.145414	19.145414	23.359281	23.359281
0.940000	5.333874	7.379806	-0.018506	0.000000	0.989873	0.989873	0.236605	0.236605	6.734934	6.734934	6.710138	6.710138	42.174930	42.174930	50.521652	50.521652
0.960000	7.323168	11.146024	-0.032689	-0.000000	2.338221	2.338221	1.002012	1.002012	9.372490	9.372490	9.325841	9.325841	62.691519	62.691519	74.709525	74.709525
0.980000	8.623081	13.977224	-0.044293	-0.000000	3.532050	3.532050	1.714784	1.714784	11.181757	11.181757	11.120689	11.120689	78.990385	78.990385	94.034774	94.034774
1.000000	9.097314	15.603520	-0.052445	-0.000000	4.479470	4.479470	2.318045	2.318045	11.971628	11.971628	11.906589	11.906589	89.341269	89.341269	106.493512	106.493512
1.020000	8.684411	15.844132	-0.056975	-0.000000	5.111959	5.111959	2.752756	2.752756	11.633451	11.633451	11.571925	11.571925	92.207111	92.207111	110.129033	110.129033
1.040000	7.409135	14.630978	-0.057686	-0.000000	5.343233	5.343233	2.965139	2.965139	10.189471	10.189471	10.112258	10.112258	87.472597	87.472597	103.762908	103.762908
1.060000	5.385720	12.019413	-0.053783	-0.000000	5.094041	5.094041	2.874683	2.874683	7.762831	7.762831	7.691066	7.691066	75.342388	75.342388	89.128442	89.128442
1.080000	2.811672	8.178288	-0.046313	-0.000000	4.350714	4.350714	2.394988	2.394988	4.562158	4.562158	4.546452	4.546452	56.160805	56.160805	67.899015	67.899015
1.100000	-0.048248	3.392700	-0.036866	-0.000000	3.157060	3.157060	1.621819	1.621819	0.865669	0.865669	0.825736	0.825736	30.281832	30.281832	35.445570	35.445570
1.120000	-2.887101	-1.929462	-0.024327	0.000000	1.549005	1.549005	0.571801	0.571801	-2.988130	-2.988130	-3.059988	-3.059988	-1.311158	-1.311158	-4.316958	-4.316958
1.140000	-5.387947	-7.277893	-0.006567	-0.000000	-0.400567	-0.400567	-0.643831	-0.643831	-6.625917	-6.625917	-6.679438	-6.679438	-36.895804	-36.895804	-47.056971	-47.056971
