ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 40mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020001	-1.870670	-0.089402	-0.004005	0.000000	0.733436	0.733436	0.319610	0.319610	-0.812619	-0.812619	-0.534495	-0.534495	33.310137	33.310137	51.062599	51.062599
0.040003	-3.834840	-0.732194	-0.021996	0.000000	1.968755	1.968755	0.907823	0.907823	-2.357951	-2.357951	-2.211580	-2.211580	46.320881	46.320881	62.235408	62.235408
0.060004	-5.731006	-2.166604	-0.043652	-0.000000	2.720654	2.720654	1.241147	1.241147	-4.062221	-4.062221	-4.472645	-4.472645	52.422440	52.422440	48.443979	48.443979
0.080005	-7.519963	-4.352870	-0.042216	0.000000	2.760398	2.760398	1.261140	1.261140	-6.321777	-6.321777	-6.648339	-6.648339	37.873034	37.873034	33.690380	33.690380
0.100007	-9.160647	-7.094514	-0.017997	0.000000	1.886863	1.886863	1.055844	1.055844	-8.714320	-8.714320	-8.646705	-8.646705	14.459934	14.459934	20.102487	20.102487
0.120008	-10.611197	-10.108349	0.006554	0.000000	0.588836	0.588836	0.664149	0.664149	-10.920690	-10.920690	-10.702939	-10.702939	-9.138736	-9.138736	-2.867363	-2.867363
0.140010	-11.830220	-13.056422	0.020330	0.000000	-0.725612	-0.725612	0.071000	0.071000	-12.766231	-12.766231	-12.698336	-12.698336	-28.727136	-28.727136	-32.407699	-32.407699
0.160011	-12.778269	-15.588530	0.029474	0.000000	-1.888043	-1.888043	-0.619289	-0.619289	-14.245308	-14.245308	-14.269527	-14.269527	-45.346643	-45.346643	-56.232099	-56.232099
0.180012	-13.419469	-17.413512	0.039595	0.000000	-2.835682	-2.835682	-1.223378	-1.223378	-15.282023	-15.282023	-15.210101	-15.210101	-57.781280	-57.781280	-67.784692	-67.784692
0.200014	-13.723293	-18.351584	0.046421	0.000000	-3.439127	-3.439127	-1.623901	-1.623901	-15.730177	-15.730177	-15.560365	-15.560365	-62.429138	-62.429138	-69.707377	-69.707377
0.220015	-13.666384	-18.347200	0.044454	0.000000	-3.573622	-3.573622	-1.806883	-1.806883	-15.529559	-15.529559	-15.396175	-15.396175	-58.111281	-58.111281	-65.784987	-65.784987
0.240016	-13.234385	-17.456734	0.035684	0.000000	-3.291498	-3.291498	-1.798332	-1.798332	-14.728350	-14.728350	-14.702682	-14.702682	-46.749138	-46.749138	-56.023103	-56.023103
0.260018	-12.423670	-15.827312	0.025723	0.000000	-2.712151	-2.712151	-1.632709	-1.632709	-13.486390	-13.486390	-13.469838	-13.469838	-33.420779	-33.420779	-40.144087	-40.144087
0.280019	-11.242866	-13.662085	0.016377	0.000000	-1.992425	-1.992425	-1.335989	-1.335989	-11.879256	-11.879256	-11.833389	-11.833389	-20.236296	-20.236296	-22.941656	-22.941656
0.300020	-9.714070	-11.173284	0.006736	0.000000	-1.253038	-1.253038	-0.978513	-0.978513	-9.961847	-9.961847	-9.946406	-9.946406	-8.205691	-8.205691	-9.404982	-9.404982
0.320022	-7.873625	-8.541039	-0.001746	0.000000	-0.598761	-0.598761	-0.637068	-0.637068	-7.835547	-7.835547	-7.873028	-7.873028	0.653002	0.653002	-0.615290	-0.615290
0.340023	-5.772346	-5.890617	-0.006393	-0.000000	-0.125156	-0.125156	-0.356547	-0.356547	-5.589086	-5.589086	-5.632218	-5.632218	5.148665	5.148665	4.636791	4.636791
0.360025	-3.475069	-3.290154	-0.006992	-0.000000	0.133079	0.133079	-0.152088	-0.152088	-3.258256	-3.258256	-3.270961	-3.270961	6.174186	6.174186	7.039909	7.039909
0.380026	-1.059455	-0.761640	-0.005645	-0.000000	0.219500	0.219500	-0.024376	-0.024376	-0.859518	-0.859518	-0.855165	-0.855165	5.636014	5.636014	7.038892	7.038892
0.400027	1.386049	1.700921	-0.004116	-0.000000	0.215339	0.215339	0.040092	0.040092	1.568477	1.568477	1.568621	1.568621	5.090471	5.090471	6.216968	6.216968
0.420029	3.765087	4.108689	-0.003019	0.000000	0.203403	0.203403	0.072995	0.072995	3.960757	3.960757	3.963210	3.963210	5.520621	5.520621	6.823488	6.823488
0.440030	5.977115	6.455179	-0.003011	0.000000	0.254620	0.254620	0.114696	0.114696	6.249369	6.249369	6.263290	6.263290	7.936685	7.936685	10.206872	10.206872
0.460031	7.921865	8.699337	-0.005053	0.000000	0.423808	0.423808	0.197920	0.197920	8.357259	8.357259	8.371229	8.371229	13.069625	13.069625	16.473697	16.473697
0.480033	9.504429	10.759061	-0.009437	-0.000000	0.738814	0.738814	0.339868	0.339868	10.179344	10.179344	10.179759	10.179759	20.607074	20.607074	25.155074	25.155074
0.500034	10.640726	12.516031	-0.015497	-0.000000	1.182788	1.182788	0.542364	0.542364	11.599172	11.599172	11.582741	11.582741	29.542536	29.542536	35.413295	35.413295
0.520035	11.263090	13.829101	-0.022162	-0.000000	1.703297	1.703297	0.792437	0.792437	12.506276	12.506276	12.476340	12.476340	38.540352	38.540352	45.873980	45.873980
