ChassisSim Rig Replay Log
R LS Bump 15K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.746383	-0.078481	-0.003258	0.000000	0.675250	0.675250	0.331512	0.331512	-0.767776	-0.767776	-0.526223	-0.526223	31.200859	31.200859	46.978709	46.978709
0.040000	-3.713430	-0.688372	-0.019122	0.000000	1.910312	1.910312	0.968119	0.968119	-2.331603	-2.331603	-2.177949	-2.177949	43.713648	43.713648	59.462567	59.462567
0.060000	-5.614855	-2.077731	-0.039392	0.000000	2.666136	2.666136	1.317995	1.317995	-4.027173	-4.027173	-4.379516	-4.379516	50.354825	50.354825	48.199306	48.199306
0.080000	-7.411607	-4.223119	-0.040115	0.000000	2.758168	2.758168	1.308096	1.308096	-6.241118	-6.241118	-6.522861	-6.522861	37.556742	37.556742	34.893862	34.893862
0.100000	-9.062720	-6.953001	-0.022037	-0.000000	1.988389	1.988389	0.957991	0.957991	-8.572225	-8.572225	-8.476939	-8.476939	16.365540	16.365540	23.421371	23.421371
0.120000	-10.526355	-10.006107	-0.005083	-0.000000	0.795802	0.795802	0.403386	0.403386	-10.736250	-10.736250	-10.549657	-10.549657	-5.564035	-5.564035	0.337370	0.337370
0.140000	-11.761057	-13.056506	0.002635	0.000000	-0.463249	-0.463249	-0.388038	-0.388038	-12.588400	-12.588400	-12.554520	-12.554520	-24.931470	-24.931470	-29.013704	-29.013704
0.160000	-12.727217	-15.748751	0.008980	0.000000	-1.652765	-1.652765	-1.207075	-1.207075	-14.125070	-14.125070	-14.203926	-14.203926	-42.847188	-42.847188	-55.239667	-55.239667
0.180000	-13.388693	-17.761755	0.021035	0.000000	-2.719278	-2.719278	-1.827719	-1.827719	-15.268663	-15.268663	-15.276591	-15.276591	-58.076347	-58.076347	-71.215222	-71.215222
0.200000	-13.714571	-18.864621	0.035298	0.000000	-3.520157	-3.520157	-2.146479	-2.146479	-15.857767	-15.857767	-15.728184	-15.728184	-66.572701	-66.572701	-76.342139	-76.342139
0.220000	-13.680993	-18.950890	0.043351	0.000000	-3.868583	-3.868583	-2.192307	-2.192307	-15.774817	-15.774817	-15.596492	-15.596492	-65.368264	-65.368264	-72.964263	-72.964263
0.240000	-13.272985	-18.049826	0.040890	0.000000	-3.701209	-3.701209	-2.089372	-2.089372	-15.004217	-15.004217	-14.864511	-14.864511	-54.404596	-54.404596	-60.996590	-60.996590
0.260000	-12.486192	-16.313483	0.030702	0.000000	-3.106528	-3.106528	-1.839054	-1.839054	-13.671042	-13.671042	-13.625028	-13.625028	-37.615266	-37.615266	-44.082434	-44.082434
0.280000	-11.328425	-13.972292	0.018498	0.000000	-2.253032	-2.253032	-1.463031	-1.463031	-11.964424	-11.964424	-11.962343	-11.962343	-20.683479	-20.683479	-25.133980	-25.133980
0.300000	-9.820894	-11.275621	0.007806	0.000000	-1.355428	-1.355428	-1.018315	-1.018315	-9.987297	-9.987297	-9.987228	-9.987228	-6.178598	-6.178598	-7.527056	-7.527056
0.320000	-7.999018	-8.445789	-0.000689	0.000000	-0.563968	-0.563968	-0.580833	-0.580833	-7.813996	-7.813996	-7.822934	-7.822934	4.683161	4.683161	5.391590	5.391590
0.340000	-5.912686	-5.646752	-0.006597	0.000000	0.030070	0.030070	-0.220149	-0.220149	-5.517974	-5.517974	-5.548272	-5.548272	11.168721	11.168721	12.491344	12.491344
0.360000	-3.625858	-2.971087	-0.009155	0.000000	0.382578	0.382578	0.026954	0.026954	-3.163467	-3.163467	-3.199412	-3.199412	13.259367	13.259367	14.812613	14.812613
0.380000	-1.215412	-0.446662	-0.008510	0.000000	0.505189	0.505189	0.160438	0.160438	-0.788483	-0.788483	-0.807861	-0.807861	12.152152	12.152152	14.082997	14.082997
0.400000	1.230830	1.942409	-0.006098	-0.000000	0.461746	0.461746	0.205027	0.205027	1.588543	1.588543	1.584052	1.584052	10.000027	10.000027	12.032936	12.032936
0.420000	3.616936	4.227713	-0.003651	0.000000	0.358952	0.358952	0.193564	0.193564	3.924458	3.924458	3.935127	3.935127	8.474339	8.474339	10.727032	10.727032
0.440000	5.842523	6.430570	-0.002617	0.000000	0.307799	0.307799	0.182525	0.182525	6.155847	6.155847	6.171269	6.171269	8.718769	8.718769	11.230917	11.230917
0.460000	7.807180	8.542471	-0.003711	-0.000000	0.374553	0.374553	0.214022	0.214022	8.219598	8.219598	8.224158	8.224158	11.901588	11.901588	14.702464	14.702464
0.480000	9.415514	10.510409	-0.006763	-0.000000	0.596446	0.596446	0.311561	0.311561	10.017297	10.017297	10.017812	10.017812	17.948796	17.948796	21.916668	21.916668
0.500000	10.582600	12.233022	-0.011587	0.000000	0.977078	0.977078	0.490822	0.490822	11.439615	11.439615	11.437765	11.437765	26.095036	26.095036	31.765630	31.765630
0.520000	11.239566	13.572501	-0.017917	0.000000	1.479767	1.479767	0.739397	0.739397	12.383142	12.383142	12.366094	12.366094	35.266840	35.266840	42.380853	42.380853
0.540000	11.338980	14.375986	-0.024736	0.000000	2.034971	2.034971	1.024740	1.024740	12.746496	12.746496	12.707881	12.707881	43.779848	43.779848	51.942309	51.942309
0.560000	10.859643	14.501088	-0.030545	0.000000	2.549202	2.549202	1.304741	1.304741	12.452516	12.452516	12.399418	12.399418	49.875151	49.875151	58.818320	58.818320
0.580000	9.810376	13.841098	-0.034135	0.000000	2.927814	2.927814	1.534194	1.534194	11.468135	11.468135	11.409856	11.409856	52.225363	52.225363	61.481881	61.481881
0.600000	8.232392	12.346259	-0.034844	0.000000	3.094734	3.094734	1.669992	1.669992	9.810502	9.810502	9.751283	9.751283	50.057564	50.057564	58.798611	58.798611
0.620000	6.199859	10.037115	-0.032321	0.000000	2.989404	2.989404	1.667746	1.667746	7.558341	7.558341	7.501341	7.501341	43.476863	43.476863	50.846778	50.846778
0.640000	3.818348	7.000506	-0.027535	0.000000	2.597611	2.597611	1.432596	1.432596	4.837624	4.837624	4.830929	4.830929	33.118180	33.118180	40.125053	40.125053
0.660000	1.220945	3.386678	-0.021993	0.000000	1.961431	1.961431	1.034892	1.034892	1.791055	1.791055	1.779489	1.779489	19.251978	19.251978	23.059980	23.059980
0.680000	-1.438009	-0.589969	-0.015544	0.000000	1.111030	1.111030	0.479900	0.479900	-1.404434	-1.404434	-1.441532	-1.441532	2.585810	2.585810	1.758113	1.758113
0.700000	-3.991449	-4.659299	-0.006448	-0.000000	0.082826	0.082826	-0.167527	-0.167527	-4.564437	-4.564437	-4.597685	-4.597685	-16.359407	-16.359407	-21.226793	-21.226793
0.720000	-6.270031	-8.519446	0.005427	-0.000000	-1.058505	-1.058505	-0.839165	-0.839165	-7.463221	-7.463221	-7.459951	-7.459951	-35.842801	-35.842801	-43.615351	-43.615351
0.740000	-8.113961	-11.864498	0.018117	-0.000000	-2.203036	-2.203036	-1.478254	-1.478254	-9.866677	-9.866677	-9.826912	-9.826912	-53.545692	-53.545692	-63.812942	-63.812942
0.760000	-9.385435	-14.413139	0.029386	-0.000000	-3.226280	-3.226280	-2.035609	-2.035609	-11.573739	-11.573739	-11.519311	-11.519311	-67.475041	-67.475041	-80.233084	-80.233084
0.780000	-9.980753	-15.935062	0.038174	0.000000	-4.024273	-4.024273	-2.459601	-2.459601	-12.441573	-12.441573	-12.386735	-12.386735	-76.383063	-76.383063	-91.080157	-91.080157
0.800000	-9.841046	-16.273566	0.044309	0.000000	-4.524867	-4.524867	-2.700762	-2.700762	-12.388715	-12.388715	-12.330891	-12.330891	-79.537635	-79.537635	-94.819384	-94.819384
0.820000	-8.960496	-15.362929	0.047434	0.000000	-4.679038	-4.679038	-2.733451	-2.733451	-11.394319	-11.394319	-11.321178	-11.321178	-76.442837	-76.442837	-90.478494	-90.478494
0.840000	-7.391004	-13.245272	0.045885	0.000000	-4.473908	-4.473908	-2.619889	-2.619889	-9.470825	-9.470825	-9.365441	-9.365441	-65.854963	-65.854963	-76.319065	-76.319065
0.860000	-5.242403	-10.076616	0.038163	0.000000	-3.888340	-3.888340	-2.339207	-2.339207	-6.759423	-6.759423	-6.675575	-6.675575	-48.663579	-48.663579	-56.133234	-56.133234
0.880000	-2.677624	-6.108431	0.025339	0.000000	-2.954652	-2.954652	-1.898437	-1.898437	-3.501698	-3.501698	-3.471800	-3.471800	-27.293015	-27.293015	-32.115447	-32.115447
0.900000	0.097399	-1.654747	0.010135	0.000000	-1.751890	-1.751890	-1.322077	-1.322077	0.006057	0.006057	0.016911	0.016911	-4.546885	-4.546885	-5.114418	-5.114418
0.920000	2.848783	2.931990	-0.005735	0.000000	-0.410566	-0.410566	-0.640948	-0.640948	3.512267	3.512267	3.508879	3.508879	19.011610	19.011610	23.083119	23.083119
0.940000	5.333874	7.282148	-0.021432	0.000000	0.978748	0.978748	0.101646	0.101646	6.725637	6.725637	6.700603	6.700603	41.887580	41.887580	50.163918	50.163918
0.960000	7.323168	11.032925	-0.035756	0.000000	2.319364	2.319364	0.854099	0.854099	9.359976	9.359976	9.312132	9.312132	62.303261	62.303261	74.193703	74.193703
0.980000	8.623081	13.855465	-0.047363	0.000000	3.507384	3.507384	1.562794	1.562794	11.167061	11.167061	11.102664	11.102664	78.534012	78.534012	93.353522	93.353522
1.000000	9.097314	15.481532	-0.055263	0.000000	4.450754	4.450754	2.172440	2.172440	11.954640	11.954640	11.886416	11.886416	88.813487	88.813487	105.728438	105.728438
1.020000	8.684411	15.731425	-0.059264	0.000000	5.080063	5.080063	2.625550	2.625550	11.615564	11.615564	11.551603	11.551603	91.650437	91.650437	109.356533	109.356533
1.040000	7.409135	14.537366	-0.059220	0.000000	5.310183	5.310183	2.868452	2.868452	10.172309	10.172309	10.092989	10.092989	86.937767	86.937767	103.028764	103.028764
1.060000	5.385720	11.955019	-0.054190	-0.000000	5.060895	5.060895	2.834712	2.834712	7.745786	7.745786	7.661468	7.661468	74.812987	74.812987	88.005279	88.005279
1.080000	2.811672	8.151729	-0.045538	-0.000000	4.320978	4.320978	2.381499	2.381499	4.548438	4.548438	4.550874	4.550874	55.729860	55.729860	68.047136	68.047136
1.100000	-0.048248	3.406812	-0.035800	-0.000000	3.143270	3.143270	1.635533	1.635533	0.867018	0.867018	0.846888	0.846888	30.312825	30.312825	36.244077	36.244077
1.120000	-2.887101	-1.880644	-0.024211	-0.000000	1.567097	1.567097	0.596496	0.596496	-2.963033	-2.963033	-3.036242	-3.036242	-0.540087	-0.540087	-3.414960	-3.414960
1.140000	-5.387947	-7.206236	-0.007437	-0.000000	-0.350123	-0.350123	-0.616840	-0.616840	-6.588186	-6.588186	-6.656240	-6.656240	-35.723611	-35.723611	-46.177218	-46.177218
1.160000	-7.260000	-12.005604	0.014563	-0.000000	-2.474134	-2.474134	-1.868727	-1.868727	-9.596249	-9.596249	-9.598784	-9.598784	-71.472498	-71.472498	-87.312952	-87.312952
1.180000	-8.274740	-15.713992	0.037865	-0.000000	-4.561541	-4.561541	-3.027270	-3.027270	-11.592670	-11.592670	-11.528764	-11.528764	-102.589864	-102.589864	-122.729280	-122.729280
1.200000	-8.297413	-17.834843	0.057941	-0.000000	-6.319790	-6.319790	-3.958578	-3.958578	-12.288746	-12.288746	-12.194542	-12.194542	-124.216488	-124.216488	-147.936403	-147.936403
