ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 45mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.660000	1.021628	3.067008	-0.012391	-0.000000	1.678547	1.678547	1.160183	1.160183	1.528657	1.528657	1.517574	1.517574	16.393474	16.393474	19.570631	19.570631
0.680000	-1.635303	-0.793501	-0.001157	-0.000000	0.809103	0.809103	0.761988	0.761988	-1.655985	-1.655985	-1.661502	-1.661502	-0.027173	-0.027173	-0.243317	-0.243317
0.700000	-4.173957	-4.680042	0.010582	-0.000000	-0.173534	-0.173534	0.270299	0.270299	-4.754383	-4.754383	-4.752283	-4.752283	-17.484408	-17.484408	-21.249215	-21.249215
0.720000	-6.425283	-8.318542	0.022468	-0.000000	-1.202962	-1.202962	-0.274268	-0.274268	-7.557087	-7.557087	-7.533452	-7.533452	-34.722502	-34.722502	-41.459093	-41.459093
0.740000	-8.230704	-11.439889	0.033396	-0.000000	-2.198614	-2.198614	-0.826911	-0.826911	-9.855923	-9.855923	-9.809127	-9.809127	-50.195353	-50.195353	-59.449998	-59.449998
0.760000	-9.454564	-13.801498	0.042058	-0.000000	-3.074335	-3.074335	-1.345417	-1.345417	-11.470143	-11.470143	-11.411319	-11.411319	-62.491750	-62.491750	-73.988120	-73.988120
0.780000	-9.996178	-15.206702	0.047687	-0.000000	-3.754786	-3.754786	-1.789539	-1.789539	-12.266784	-12.266784	-12.204344	-12.204344	-70.596873	-70.596873	-83.735475	-83.735475
0.800000	-9.800407	-15.521727	0.050003	-0.000000	-4.182506	-4.182506	-2.120852	-2.120852	-12.168509	-12.168509	-12.103059	-12.103059	-73.808601	-73.808601	-87.538632	-87.538632
0.820000	-8.865654	-14.689077	0.048786	0.000000	-4.315852	-4.315852	-2.306975	-2.306975	-11.158303	-11.158303	-11.090533	-11.090533	-71.634984	-71.634984	-84.798447	-84.798447
0.840000	-7.248215	-12.736972	0.044066	0.000000	-4.150788	-4.150788	-2.327286	-2.327286	-9.269321	-9.269321	-9.217085	-9.217085	-63.346286	-63.346286	-75.275470	-75.275470
0.860000	-5.062140	-9.785493	0.036150	0.000000	-3.677693	-3.677693	-2.191142	-2.191142	-6.640505	-6.640505	-6.585867	-6.585867	-49.691859	-49.691859	-58.536035	-58.536035
0.880000	-2.473999	-6.042726	0.024926	0.000000	-2.904060	-2.904060	-1.893625	-1.893625	-3.468426	-3.468426	-3.412778	-3.412778	-31.603086	-31.603086	-36.429444	-36.429444
0.900000	0.307597	-1.788571	0.010331	0.000000	-1.860877	-1.860877	-1.447909	-1.447909	0.003128	0.003128	0.035692	0.035692	-10.158524	-10.158524	-11.148380	-11.148380
0.920000	3.047398	2.648163	-0.006601	0.000000	-0.603187	-0.603187	-0.882326	-0.882326	3.480232	3.480232	3.484216	3.484216	12.812079	12.812079	15.786681	15.786681
0.940000	5.502953	6.911401	-0.023974	0.000000	0.755154	0.755154	-0.230318	-0.230318	6.684129	6.684129	6.654125	6.654125	36.185092	36.185092	43.001804	43.001804
0.960000	7.446666	10.639401	-0.039811	0.000000	2.109552	2.109552	0.469360	0.469360	9.318147	9.318147	9.268709	9.268709	57.805370	57.805370	68.630455	68.630455
0.980000	8.688540	13.491669	-0.052734	0.000000	3.344997	3.344997	1.167871	1.167871	11.133870	11.133870	11.071032	11.071032	75.844238	75.844238	90.123550	90.123550
1.000000	9.097346	15.180579	-0.061758	0.000000	4.352809	4.352809	1.805790	1.805790	11.938743	11.938743	11.860453	11.860453	88.383263	88.383263	104.828239	104.828239
1.020000	8.617787	15.505183	-0.066133	0.000000	5.051675	5.051675	2.318639	2.318639	11.602774	11.602774	11.523554	11.523554	93.075446	93.075446	110.515353	110.515353
1.040000	7.281339	14.380507	-0.065306	0.000000	5.335291	5.335291	2.645617	2.645617	10.144688	10.144688	10.054608	10.054608	89.500678	89.500678	105.745074	105.745074
1.060000	5.208817	11.854260	-0.058259	0.000000	5.110518	5.110518	2.740565	2.740565	7.689475	7.689475	7.574053	7.574053	77.763291	77.763291	90.470563	90.470563
1.080000	2.603448	8.106344	-0.043897	-0.000000	4.335161	4.335161	2.548848	2.548848	4.434458	4.434458	4.345848	4.345848	57.679423	57.679423	66.970323	66.970323
1.100000	-0.265870	3.441456	-0.023690	-0.000000	3.056716	3.056716	2.068930	2.068930	0.669615	0.669615	0.644610	0.644610	29.868912	29.868912	35.470442	35.470442
1.120000	-3.090262	-1.721626	-0.000960	-0.000000	1.367168	1.367168	1.326488	1.326488	-3.202937	-3.202937	-3.209815	-3.209815	-2.769751	-2.769751	-3.639313	-3.639313
1.140000	-5.553470	-6.873953	0.022664	0.000000	-0.592814	-0.592814	0.363405	0.363405	-6.788489	-6.788489	-6.789622	-6.789622	-37.793567	-37.793567	-46.148897	-46.148897
1.160000	-7.368154	-11.466402	0.045471	-0.000000	-2.649293	-2.649293	-0.787434	-0.787434	-9.687103	-9.687103	-9.619225	-9.619225	-71.698809	-71.698809	-84.880928	-84.880928
1.180000	-8.311821	-14.965661	0.065187	-0.000000	-4.586903	-4.586903	-1.881096	-1.881096	-11.546102	-11.546102	-11.486108	-11.486108	-100.415323	-100.415323	-120.189561	-120.189561
